time,current,voltage,x,y,z,feedrate,arc_i,arc_j,arc_dir
2.820445,1.950000,13.400000,29.500000,0.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,30.750000,0.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,23.250000,0.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,30.750000,0.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,32.000000,0.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,22.000000,0.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,32.000000,0.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,36.000000,0.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,37.250000,0.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,34.750000,0.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,37.250000,0.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,38.500000,0.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,33.500000,0.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,38.500000,0.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,39.750000,0.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,32.250000,0.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,39.750000,0.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,41.000000,0.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,31.000000,0.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,41.000000,0.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,45.000000,0.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,46.250000,0.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,43.750000,0.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,46.250000,0.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,47.500000,0.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,42.500000,0.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,47.500000,0.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,48.750000,0.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,41.250000,0.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,48.750000,0.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,50.000000,0.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,40.000000,0.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,50.000000,0.000000,0.000000,167.079633,5.000000,0.000000,ccw
2.540177,1.950000,13.400000,0.000000,9.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,1.250000,9.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,-1.250000,9.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,1.250000,9.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,2.500000,9.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,-2.500000,9.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,2.500000,9.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,3.750000,9.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,-3.750000,9.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,3.750000,9.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,5.000000,9.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,-5.000000,9.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,5.000000,9.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,9.000000,9.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,10.250000,9.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,7.750000,9.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,10.250000,9.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,11.500000,9.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,6.500000,9.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,11.500000,9.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,12.750000,9.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,5.250000,9.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,12.750000,9.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,14.000000,9.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,4.000000,9.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,14.000000,9.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,18.000000,9.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,19.250000,9.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,16.750000,9.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,19.250000,9.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,20.500000,9.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,15.500000,9.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,20.500000,9.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,21.750000,9.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,14.250000,9.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,21.750000,9.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,23.000000,9.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,13.000000,9.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,23.000000,9.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,27.000000,9.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,28.250000,9.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,25.750000,9.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,28.250000,9.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,29.500000,9.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,24.500000,9.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,29.500000,9.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,30.750000,9.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,23.250000,9.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,30.750000,9.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,32.000000,9.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,22.000000,9.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,32.000000,9.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,36.000000,9.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,37.250000,9.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,34.750000,9.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,37.250000,9.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,38.500000,9.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,33.500000,9.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,38.500000,9.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,39.750000,9.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,32.250000,9.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,39.750000,9.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,41.000000,9.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,31.000000,9.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,41.000000,9.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,45.000000,9.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,46.250000,9.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,43.750000,9.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,46.250000,9.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,47.500000,9.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,42.500000,9.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,47.500000,9.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,48.750000,9.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,41.250000,9.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,48.750000,9.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,50.000000,9.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,40.000000,9.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,50.000000,9.000000,0.000000,167.079633,5.000000,0.000000,ccw
2.540177,1.950000,13.400000,0.000000,18.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,1.250000,18.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,-1.250000,18.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,1.250000,18.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,2.500000,18.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,-2.500000,18.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,2.500000,18.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,3.750000,18.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,-3.750000,18.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,3.750000,18.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,5.000000,18.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,-5.000000,18.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,5.000000,18.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,9.000000,18.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,10.250000,18.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,7.750000,18.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,10.250000,18.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,11.500000,18.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,6.500000,18.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,11.500000,18.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,12.750000,18.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,5.250000,18.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,12.750000,18.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,14.000000,18.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,4.000000,18.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,14.000000,18.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,18.000000,18.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,19.250000,18.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,16.750000,18.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,19.250000,18.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,20.500000,18.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,15.500000,18.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,20.500000,18.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,21.750000,18.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,14.250000,18.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,21.750000,18.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,23.000000,18.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,13.000000,18.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,23.000000,18.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,27.000000,18.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,28.250000,18.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,25.750000,18.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,28.250000,18.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,29.500000,18.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,24.500000,18.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,29.500000,18.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,30.750000,18.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,23.250000,18.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,30.750000,18.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,32.000000,18.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,22.000000,18.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,32.000000,18.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,36.000000,18.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,37.250000,18.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,34.750000,18.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,37.250000,18.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,38.500000,18.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,33.500000,18.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,38.500000,18.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,39.750000,18.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,32.250000,18.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,39.750000,18.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,41.000000,18.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,31.000000,18.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,41.000000,18.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,45.000000,18.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,46.250000,18.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,43.750000,18.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,46.250000,18.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,47.500000,18.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,42.500000,18.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,47.500000,18.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,48.750000,18.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,41.250000,18.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,48.750000,18.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,50.000000,18.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,40.000000,18.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,50.000000,18.000000,0.000000,167.079633,5.000000,0.000000,ccw
2.540177,1.950000,13.400000,0.000000,27.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,1.250000,27.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,-1.250000,27.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,1.250000,27.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,2.500000,27.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,-2.500000,27.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,2.500000,27.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,3.750000,27.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,-3.750000,27.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,3.750000,27.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,5.000000,27.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,-5.000000,27.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,5.000000,27.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,9.000000,27.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,10.250000,27.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,7.750000,27.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,10.250000,27.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,11.500000,27.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,6.500000,27.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,11.500000,27.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,12.750000,27.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,5.250000,27.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,12.750000,27.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,14.000000,27.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,4.000000,27.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,14.000000,27.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,18.000000,27.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,19.250000,27.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,16.750000,27.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,19.250000,27.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,20.500000,27.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,15.500000,27.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,20.500000,27.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,21.750000,27.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,14.250000,27.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,21.750000,27.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,23.000000,27.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,13.000000,27.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,23.000000,27.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,27.000000,27.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,28.250000,27.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,25.750000,27.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,28.250000,27.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,29.500000,27.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,24.500000,27.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,29.500000,27.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,30.750000,27.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,23.250000,27.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,30.750000,27.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,32.000000,27.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,22.000000,27.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,32.000000,27.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,36.000000,27.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,37.250000,27.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,34.750000,27.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,37.250000,27.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,38.500000,27.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,33.500000,27.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,38.500000,27.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,39.750000,27.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,32.250000,27.000000,0.000000,167.079633,-3.750000,0.000000,ccw
4.230667,1.950000,13.400000,39.750000,27.000000,0.000000,167.079633,3.750000,0.000000,ccw
0.448888,1.950000,13.400000,41.000000,27.000000,0.000000,167.079633,,,
5.640890,1.950000,13.400000,31.000000,27.000000,0.000000,167.079633,-5.000000,0.000000,ccw
5.640890,1.950000,13.400000,41.000000,27.000000,0.000000,167.079633,5.000000,0.000000,ccw
0.200000,1.950000,13.400000,45.000000,27.000000,0.000000,1200.000000,,,
0.448888,1.950000,13.400000,46.250000,27.000000,0.000000,167.079633,,,
1.410222,1.950000,13.400000,43.750000,27.000000,0.000000,167.079633,-1.250000,0.000000,ccw
1.410222,1.950000,13.400000,46.250000,27.000000,0.000000,167.079633,1.250000,0.000000,ccw
0.448888,1.950000,13.400000,47.500000,27.000000,0.000000,167.079633,,,
2.820445,1.950000,13.400000,42.500000,27.000000,0.000000,167.079633,-2.500000,0.000000,ccw
2.820445,1.950000,13.400000,47.500000,27.000000,0.000000,167.079633,2.500000,0.000000,ccw
0.448888,1.950000,13.400000,48.750000,27.000000,0.000000,167.079633,,,
4.230667,1.950000,13.400000,41.250000,27.000000,0.000000,167.079633,-3.750000,0.000000,ccw
