time,current,voltage,x,y,z,feedrate,arc_i,arc_j,arc_dir
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,-4.330127,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.330127,2.500000,0.000000,900.000000,,,
0.158909,1.950000,13.400000,9.000000,0.000000,0.000000,2000.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,13.330127,2.500000,0.000000,900.000000,,,
0.666667,1.950000,13.400000,4.669873,-2.500000,0.000000,900.000000,,,
